<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.03	00:00:00	0.98008	0.98008	0.97833	0.97947	794	0	35
2022.10.03	01:00:00	0.97950	0.98087	0.97909	0.98008	2901	0	8
2022.10.03	02:00:00	0.98003	0.98028	0.97893	0.97932	3087	0	8
2022.10.03	03:00:00	0.97934	0.98040	0.97853	0.98015	4199	0	8
2022.10.03	04:00:00	0.98015	0.98286	0.98013	0.98255	4331	0	8
2022.10.03	05:00:00	0.98251	0.98251	0.98123	0.98123	2668	0	8
2022.10.03	06:00:00	0.98124	0.98152	0.98041	0.98055	2892	0	8
2022.10.03	07:00:00	0.98058	0.98058	0.97853	0.97853	4264	0	8
2022.10.03	08:00:00	0.97855	0.98348	0.97843	0.98255	5375	0	8
2022.10.03	09:00:00	0.98258	0.98286	0.97916	0.97977	8602	0	7
2022.10.03	10:00:00	0.97976	0.98189	0.97869	0.98120	9880	0	8
2022.10.03	11:00:00	0.98121	0.98274	0.98049	0.98110	7605	0	8
2022.10.03	12:00:00	0.98109	0.98129	0.97528	0.97629	5720	0	8
2022.10.03	13:00:00	0.97629	0.97860	0.97570	0.97788	5366	0	8
2022.10.03	14:00:00	0.97787	0.97832	0.97542	0.97684	5273	0	8
2022.10.03	15:00:00	0.97683	0.97808	0.97560	0.97656	7193	0	8
2022.10.03	16:00:00	0.97655	0.97836	0.97578	0.97674	9060	0	8
2022.10.03	17:00:00	0.97678	0.98277	0.97678	0.98136	14025	0	8
2022.10.03	18:00:00	0.98137	0.98447	0.98054	0.98081	8820	0	8
2022.10.03	19:00:00	0.98081	0.98184	0.97957	0.98078	5816	0	8
2022.10.03	20:00:00	0.98077	0.98100	0.97880	0.97944	4264	0	8
2022.10.03	21:00:00	0.97943	0.98211	0.97892	0.98167	4459	0	8
2022.10.03	22:00:00	0.98169	0.98284	0.98051	0.98283	4807	0	8
2022.10.03	23:00:00	0.98286	0.98288	0.98211	0.98235	2256	0	8
2022.10.04	00:00:00	0.98235	0.98242	0.98190	0.98197	244	0	34
2022.10.04	01:00:00	0.98199	0.98315	0.98194	0.98289	2941	0	8
2022.10.04	02:00:00	0.98289	0.98374	0.98286	0.98336	3307	0	8
